search_query,name,category,rating,reviews,address,phone,website,city,state,maps_url
Mumbai Event Management Company,Lets Party Event Best event planner in Mumbai,,4.9,,"Road No.2, near Jai Ganesh metra mandal, Kannamwar Nagar II, Vikhroli East, Mumbai, Maharashtra 400083",,,Mumbai,Maharashtra,"https://www.google.com/maps/place/Lets+Party+Event+Best+event+planner+in+Mumbai/@19.1682194,72.5496576,11z/data=!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7c79eb19f220b:0xd067ed8dff2f756c!8m2!3d19.1189337!4d72.9405972!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBhY1ZaRk9YVmpiVGxUVkZWUk1HRXlOVEpUYm1oSVVUQXdlRll4UlJBQuABAPoBBAgvEDg!16s%2Fg%2F11rz5bb61n?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,Event Casa Mumbai,,4.6,,"Level 3, The Capital (The Executive Centre, Plot C-70, G Block BKC, Bandra (E, Bandra East, Mumbai, Maharashtra 400051",077770 40427,https://www.theeventcasa.com/,Mumbai,Maharashtra,"https://www.google.com/maps/place/Event+Casa+Mumbai/@19.1682194,72.5496576,11z/data=!3m1!5s0x3be7c87b9505645d:0x4130c5d175fa5b9e!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7c7f743a425f9:0xcaf9d941d66d16e9!8m2!3d19.063199!4d72.8619789!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSAQ1ldmVudF9wbGFubmVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5UVU5uZUdKTWNGbG5FQUXgAQD6AQQIABA-!16s%2Fg%2F11f6ks3_hk?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,Centre Point Events Pvt Ltd,,4.8,,"Hetal Arch, A Wing, 2nd Floor, Malad West, Mumbai - 400064, Opposite Natraj Market, Off S V Road, Malad West, Mumbai, Maharashtra 400064",072084 66625,https://centrepointevents.com/,Mumbai,Maharashtra,"https://www.google.com/maps/place/Centre+Point+Events+Pvt+Ltd/@19.1682194,72.5496576,11z/data=!3m1!5s0x3be7b6f68a5cd0e5:0xaab21691fd8b6414!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7b6e37c6f2f3b:0x7647b74713cd3f1e!8m2!3d19.1879098!4d72.8459423!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhDVTFwVmR6SlRNRnBOVjFWV01GTldTbEZNVlRGWVpVUmtZV1F6WXhBQuABAPoBBAgAEB0!16s%2Fg%2F11c3t5jxw1?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,TSA Events | Event Management Company in Mumbai,,5.0,,"First Floor, Golden Chambers, 109, Andheri Link Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",091670 95997,https://tsaevents.in/,Mumbai,Maharashtra,"https://www.google.com/maps/place/TSA+Events+%7C+Event+Management+Company+in+Mumbai/@19.1682194,72.5496576,11z/data=!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7b7ec2d4cea55:0xd3c31dc2621f87b3!8m2!3d19.1376565!4d72.8321998!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnngAQA!16s%2Fg%2F11y46sl81q?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,MidasNext Media | Event Planners,,4.3,,"Morya Blue Moon, 1302, above Glocal, next to Monginis factory, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",022 4010 4713,https://midasnext.in/,Mumbai,Maharashtra,"https://www.google.com/maps/place/MidasNext+Media+%7C+Event+Planners/@19.1682194,72.5496576,11z/data=!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7b611219efd0d:0xee94e2724d2f1fd0!8m2!3d19.1377397!4d72.8326804!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnngAQA!16s%2Fg%2F1tplj5sy?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,"Coalesce Eventz India Pvt Ltd - Corporate Event Management, MICE, Exhibition Booth Design, IP Management",,4.4,,"Samant Estate, Takshashila Building, 401, beside Jay Prakash Nagar, Goregaon East, Mumbai, Maharashtra 400063",093212 02135,https://coalesceeventz.com/,Mumbai,Maharashtra,"https://www.google.com/maps/place/Coalesce+Eventz+India+Pvt+Ltd+-+Corporate+Event+Management,+MICE,+Exhibition+Booth+Design,+IP+Management/@19.1682194,72.5496576,11z/data=!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7c83d3fffffff:0xfe5e2f34519f10a6!8m2!3d19.1642992!4d72.8501618!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnViM1JtVEdOUkVBReABAPoBBAgAEB0!16s%2Fg%2F11c615vf62?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,Infinity Events & Promotions | Best Event Management Company in Mumbai,,5.0,,"ELEGANTA CASA BELLA, A-106, Palava City, Dombivli East, Mumbai, Kalyan, Maharashtra 421204",,,Kalyan,Maharashtra,"https://www.google.com/maps/place/Infinity+Events+%26+Promotions+%7C+Best+Event+Management+Company+in+Mumbai/@19.1754487,72.7651185,11z/data=!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7bf45c9982c71:0xdb00ea7e849f7dbf!8m2!3d19.1754487!4d73.0699891!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnngAQA!16s%2Fg%2F11z4t347s8?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,A.L.S. Events - Event Planners and Organiser,,4.9,,"7th floor Plot No. 16, Vashi Infotech Park, behind raghuleela mall, next to joyalukkas, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703",099308 77368,http://www.alsevent.net/,Navi Mumbai,Maharashtra,"https://www.google.com/maps/place/A.L.S.+Events+-+Event+Planners+and+Organiser/@19.1754487,72.7651185,11z/data=!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7ce3612c4d8df:0xd94275c87773ebfe!8m2!3d19.0650711!4d72.9994765!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnngAQA!16s%2Fg%2F11cn9kt_x0?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,Global Event Company India,,4.2,,"Gecindia 12A-12B, 10th floor, Pinnacle Corporate Park, BKC CST Link Rd, next to trade centre, Kolivery Village, MMRDA Area, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098",098210 47860,http://www.geci.co.in/,Mumbai,Maharashtra,"https://www.google.com/maps/place/Global+Event+Company+India/@19.0721541,72.5653826,11z/data=!3m1!5s0x3be7b83c7a2afd81:0xde2a373eda0556fb!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7c8de2609ab25:0x1bd888418052ffef!8m2!3d19.0721541!4d72.8702532!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnngAQA!16s%2Fg%2F11c5xn0t0x?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
Mumbai Event Management Company,Good Growtths | AtoZ Event Services under one roof (Since 2011),,5.0,,"Patel Heritage, C- 602, above HDFC Bank, Sector 7, Kharghar, Panvel, Maharashtra 410210",097695 16133,https://goodgrowtths.com/,Panvel,Maharashtra,"https://www.google.com/maps/place/Good+Growtths+%7C+AtoZ+Event+Services+under+one+roof+(Since+2011)/@19.0348615,72.7596171,11z/data=!4m10!1m2!2m1!1sMumbai+Event+Management+Company!3m6!1s0x3be7c3ff5e9f2267:0xa81afa44f4d93ed5!8m2!3d19.0348615!4d73.0644877!15sCh9NdW1iYWkgRXZlbnQgTWFuYWdlbWVudCBDb21wYW55WiEiH211bWJhaSBldmVudCBtYW5hZ2VtZW50IGNvbXBhbnmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnngAQA!16s%2Fg%2F11ty289b9k?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D"
